Title,Video URL,Video Duration,Views Number
"SLAYERBOUND! VOCÊ PRECISA TESTAR ESSE NOVO JOGO DE DEMON SLAYER DO ROBLOX!","https://www.youtube.com/watch?v=3X8c2MmA-A0&pp=ygULU2xheWVyYm91bmQ%3D","21.30","4346次观看"
"Jogando Pela Primeira Vez o SLAYERBOUND Um NOVO Jogo de Kimetsu no Yaiba do Roblox","https://www.youtube.com/watch?v=QxSzp1UVkM0&pp=ygULU2xheWVyYm91bmQ%3D","21.58","1万次观看"
"GUIA 𝐂𝐎𝐌𝐏𝐋𝐄𝐓𝐎 DE COMO UPAR RÁPIDO NO SLAYERBOUND DESCUBRA TUDO SOBRE O JOGO!","https://www.youtube.com/watch?v=boayqqByvEs&pp=ygULU2xheWVyYm91bmQ%3D","36.20","3.5万次观看"
"MINHA JORNADA ATÉ ME TORNAR O HASHIRA DAS CHAMAS NO SLAYERBOUND!","https://www.youtube.com/watch?v=8QHCM5-Tx9c&pp=ygULU2xheWVyYm91bmQ%3D","13.12","3719次观看"
"GUIA COMPLETO DE COMO JOGAR E UPAR NO SLAYERBOUND!","https://www.youtube.com/watch?v=9ZQSL9UEEJE&t=1s&pp=ygULU2xheWVyYm91bmQ%3D","13.40","1万次观看"
"SAIU! TESTANDO O NOVO JOGO DE DEMON SLAYER NO ROBLOX! (SLAYERBOUND)","https://www.youtube.com/watch?v=kXLdjYVDbmg&pp=ygULU2xheWVyYm91bmQ%3D","10.08","5931次观看"
"EU TESTEI TODAS AS RESPIRAÇÕES DO SLAYERBOUND! QUAL É A MELHOR?","https://www.youtube.com/watch?v=PlCv3Set2MY&pp=ygULU2xheWVyYm91bmQ%3D","10.36","6867次观看"
"[MEGA] SHOWCASE DE TODAS AS RESPIRAÇÕES E DEMON ART NO SLAYERBOUND! - ROBLOX","https://www.youtube.com/watch?v=ecRgzHnK1tU&pp=ygULU2xheWVyYm91bmQ%3D","17.52","7801次观看"
"𝐓𝐔𝐃𝐎 O QUE VOCÊ PRECISA SABER SOBRE O MEU JOGO DE DEMON SLAYER NO ROBLOX! [SLAYERBOUND]","https://www.youtube.com/watch?v=MV7AfNCpk9A&pp=ygULU2xheWVyYm91bmQ%3D","7.45","7047次观看"
"GUIA DE COMO VIRAR E JOGAR DE ONI NO SLAYERBOUND!","https://www.youtube.com/watch?v=yAhjHjw7m1o&pp=ygULU2xheWVyYm91bmQ%3D","9.27","6191次观看"
"SLAYERBOUND CODES 🟢[ROBLOX]🟢 [RELEASE] | *NEW* ALL WORKING 2026 CODES FOR ROBLOX SLAYERBOUND","https://www.youtube.com/watch?v=hKBEMyrze2E&pp=ygULU2xheWVyYm91bmQ%3D","1.10","1915次观看"
"*NEW CODES* [RELEASE] Slayerbound ROBLOX | ALL CODES | February 3, 2026","https://www.youtube.com/watch?v=rC0XG8-X1pw&pp=ygULU2xheWVyYm91bmQ%3D","3.34","504次观看"
"OK! ESSE NOVO JOGO DE DEMON SLAYER NO ROBLOX 𝗠𝗘 𝗜𝗠𝗣𝗥𝗘𝗦𝗦𝗜𝗢𝗡𝗢𝗨!! [SLAYERBOUND]","https://www.youtube.com/watch?v=apFADhrC458&pp=ygULU2xheWVyYm91bmQ%3D","17.48","1.6万次观看"
"Slayerbound Codes (February 2026) [RELEASE]","https://www.youtube.com/watch?v=Ng5-_B0HuUM&pp=ygULU2xheWVyYm91bmQ%3D","2.21","566次观看"
"MINHA JORNADA ATÉ PEGAR A RESPIRAÇÃO DA AGUA do TANJIRO KAMADO no SLAYERBOUND ( NOVO JOGO )","https://www.youtube.com/watch?v=fRRFYkxuChg&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","21.10","2774次观看"
"𝐒𝐀𝐈𝐔!! PRIMEIRA GAMEPLAY DO MEU NOVO JOGO DE DEMON SLAYER NO ROBLOX! SLAYERBOUND","https://www.youtube.com/watch?v=xIdWDmZI-DQ&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","23.56","6701次观看"
"BEST SKILL TREE IN ARC RAIDERS !SKILLTREE 9K KILLS BEST SOLO MOVEMENT KING PVP","https://www.youtube.com/watch?v=_vWI8mIN1P0&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","11.35:59","1.7万次观看"
"JOGANDO SLAYERBOUND - NOVO JOGO DE DEMON SLAYER NO ROBLOX #slayerbound","https://www.youtube.com/watch?v=9HMHO2AP7QU&pp=ygULU2xheWVyYm91bmQ%3D","4.19:00","668次观看"
"Por Trás do Slayerbound: O RPG Brasileiro de Demon Slayer no Roblox","https://www.youtube.com/watch?v=GNbmfj_2OG0&pp=ygULU2xheWVyYm91bmQ%3D","43.50","2367次观看"
"MINHA JORNADA ATÉ ME TORNAR O HASHIRA DO TROVÃO NO SLAYERBOUND!","https://www.youtube.com/watch?v=0b8V4fgazig&pp=ygULU2xheWVyYm91bmQ%3D","10.17","5135次观看"
"EXCRY PLAYTEST RELEASE!!","https://www.youtube.com/watch?v=uHg7YzHp9Wo&pp=ygULU2xheWVyYm91bmQ%3D","1.07:19","4714次观看"
"EVERYTHING You Need to Know in Slayer Bound! ( Actual Tips This Time I Promise )","https://www.youtube.com/watch?v=QVsY-bdujjM&pp=ygULU2xheWVyYm91bmQ%3D","14.35","1257次观看"
"My Experience On SlayerBound","https://www.youtube.com/watch?v=wRtjWgL4moU&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","15.04","1310次观看"
"JOGANDO SLAYERBOUND - NOVO JOGO DE DEMON SLAYER NO ROBLOX #slayerbound","https://www.youtube.com/watch?v=DcSV-8EctvE&pp=ygULU2xheWVyYm91bmQ%3D","3.35:07","457次观看"
"DERROTANDO UM BOSS E TENDO UMA RESPIRAÇÃO? (SLAYERBOUND)","https://www.youtube.com/watch?v=AghA_q6iYKM&pp=ygULU2xheWVyYm91bmQ%3D","2.45:50","8次观看"
"SORTEIO DE GAME PASS SLAYERBOUND & CONVERSANDO COM ADMS #slayerbound #roblox","https://www.youtube.com/watch?v=bGl-lBxmdqY&pp=ygULU2xheWVyYm91bmQ%3D","3.31:25","501次观看"
"Slayerbound noob ao pro ep 1","https://www.youtube.com/watch?v=u92FYZmA6Wg&pp=ygULU2xheWVyYm91bmQ%3D","51.14","28次观看"
"GUIA DO UPDATE DO ONIKAMI!!! FINALMENTE ATUALIZOU!? EXPLICAÇÃO DE TUDO QUE VEIO E OCORREU!!!","https://www.youtube.com/watch?v=j67NenHNo3E&pp=ygULU2xheWVyYm91bmQ%3D","13.20","4558次观看"
"How to Get Water Breathing in Slayer Bound (Roblox Guide)","https://www.youtube.com/watch?v=M_7czsdK3qQ&pp=ygULU2xheWVyYm91bmQ%3D","8.05","764次观看"
"*NEW* Best Sorcerer Ascent Script - No Key, Kill Aura, Auto Farm Mobs, Auto Dungeon And Many More","https://www.youtube.com/watch?v=HPVUQn4Awqg&pp=ygULU2xheWVyYm91bmQ%3D","1.02","1135次观看"
"THIS NEW DEMON SLAYER GAME IS PROJECT SLAYERS AND DEMONFALL COMBINDED!? (Slayer Bound)","https://www.youtube.com/watch?v=BAvJ07DUjyk&pp=ygULU2xheWVyYm91bmQ%3D","11.41","2534次观看"
"The new SUPREMACY...   I   Roblox Bloodlines","https://www.youtube.com/watch?v=pd1wE0vCmCI&pp=ygULU2xheWVyYm91bmQ%3D","7.09","3456次观看"
"Demon Slayer: Bound by Infinity || @Sk_Vins","https://www.youtube.com/watch?v=DJpksfnhBrI&pp=ygULU2xheWVyYm91bmQ%3D","0.09","无人观看"
"Reaper's Loop | Project slayers PVP","https://www.youtube.com/watch?v=2yZJMHyFdZw&pp=ygULU2xheWVyYm91bmQ%3D","4.07","1869次观看"
"This Demon Slayer game on Roblox is insane! (Slayer Bound)","https://www.youtube.com/watch?v=mBxW7VtRf1w&pp=ygULU2xheWVyYm91bmQ%3D","13.45","855次观看"
"💥*BINDING VOWS* ALL LATEST BINDING VOWS UPDATE CODES FOR KAIZEN! ROBLOX KAIZEN CODES","https://www.youtube.com/watch?v=JV2IyDCSdaE&pp=ygULU2xheWVyYm91bmQ%3D","1.09","3623次观看"
"Slayerbound Codes (2026) | Roblox","https://www.youtube.com/watch?v=yT5haq5bCU0&pp=ygULU2xheWVyYm91bmQ%3D","1.29","1004次观看"
"ESPERANDO O LANÇAMENTO DO SLAYERBOUND - NOVO JOGO DE DEMON SLAYER NO ROBLOX #slayerbound","https://www.youtube.com/watch?v=8S-PTq29bYA&pp=ygULU2xheWVyYm91bmQ%3D","4.06:26","2058次观看"
"Usual Flame qs | Demon Hunter","https://www.youtube.com/watch?v=G0wPlpOEJ5Q&pp=ygULU2xheWVyYm91bmQ%3D","4.26:37","973次观看"
"Slayerbound: O novo melhor jogo de Demon Slayer do Roblox? 🏮","https://www.youtube.com/watch?v=h00Bx8T-E00&pp=ygULU2xheWVyYm91bmQ%3D","2.11:17","34次观看"
"Novo jogo de kimetsu no yaiba no roblox, slayerbound","https://www.youtube.com/watch?v=WSRjsQP0jlU&pp=ygULU2xheWVyYm91bmQ%3D","22.51","30次观看"
"Roblox Slayer bound | Afk exp farming method","https://www.youtube.com/watch?v=QEUdtfSmei0&pp=ygULU2xheWVyYm91bmQ%3D","2.14","422次观看"
"Playing Slayerbound","https://www.youtube.com/watch?v=lhxhvNHANRk&pp=ygULU2xheWVyYm91bmQ%3D","9.03","78次观看"
"Roblox slayer bound | Leveling up guide and water breathing guide.","https://www.youtube.com/watch?v=c4FvzQjQGcU&pp=ygULU2xheWVyYm91bmQ%3D","7.58","137次观看"
"FAZENDO A SELEÇAO FINAL SLAYERBOUND & FARMANDO BOSS #slayerbound","https://www.youtube.com/watch?v=te47URRuAMM&pp=ygULU2xheWVyYm91bmQ%3D","3.13:26","369次观看"
"EU ME TORNEI O HASHIRA DO TROVÃO 😤⚡NO [ SLAYER BAUND] ROBLOX","https://www.youtube.com/watch?v=g4ai3ajDYsg&pp=ygULU2xheWVyYm91bmQ%3D","19.31","80次观看"
"*OP DAMAGE* The BEST WEAPON In Solo Hunters DUAL DAGGERS SHINY S+ Tier (Meta Sword)","https://www.youtube.com/watch?v=lcQQ8spUI4o&pp=ygULU2xheWVyYm91bmQ%3D","10.31","3742次观看"
"𝐈𝐍𝐂𝐑𝐈𝐕𝐄𝐋!! MASTERIZEI TODOS OS TREINOS DE RESPIRAÇÃO… E ISSO MUDOU TUDO 😱 | SLAYERBOUND","https://www.youtube.com/watch?v=pZWW1Vba3X0&pp=ygULU2xheWVyYm91bmQ%3D","22.00","9451次观看"
"I have to max my account.","https://www.youtube.com/watch?v=NnqUCk3asOQ&pp=ygULU2xheWVyYm91bmQ%3D","39.20","12万次观看"
"This New Demon Slayer Game Is Kinda Fire… | Slayer Bound","https://www.youtube.com/watch?v=g5DmwsgLWBo&pp=ygULU2xheWVyYm91bmQ%3D","19.55","89次观看"
"THIS GAME REFUSES TO DIE!! SUB-ZERO'S AWAKENING HAS ARRIVED IN THIS SOULBOUND UPDATE","https://www.youtube.com/watch?v=2saZOXpeI94&pp=ygULU2xheWVyYm91bmQ%3D","10.46","3282次观看"
"SLAYERBOUND é bom? Joguei pela primeira vez -- Roblox 👀-- @DEUS_DROR​","https://www.youtube.com/watch?v=7obHOHaKWF0&pp=ygULU2xheWVyYm91bmQ%3D","13.54","18次观看"
"Solo Hunters Progression Guide - Fastest Leveling Methods","https://www.youtube.com/watch?v=s24OWEJUSpE&pp=ygULU2xheWVyYm91bmQ%3D","8.59","1.2万次观看"
"Ali Hazelwood's 2025 Novellas: First, Bound, and Hot For Slayer recapped and reviewed with spoilers","https://www.youtube.com/watch?v=pbO0QfOkAcI&pp=ygULU2xheWVyYm91bmQ%3D","1.38:15","37次观看"
"🔴🔥LIVEZINHA JOGANDO SLAYERBOUND COLAA!!🔴🔥","https://www.youtube.com/watch?v=mDa39Gf84xw&pp=ygULU2xheWVyYm91bmQ%3D","13.41","10次观看"
"Demon Slayer SAITAMA (Full Version)","https://www.youtube.com/watch?v=cHFBm0KcD2g&pp=ygULU2xheWVyYm91bmQ%3D","8.41","657万次观看"
"Demon Slayer characters captured","https://www.youtube.com/watch?v=DmQOWUVZWAg&pp=ygULU2xheWVyYm91bmQ%3D","0.36","2.6万次观看"
"What If Tanjiro Was Reborn With His Memories?","https://www.youtube.com/watch?v=33emG2EtSME&pp=ygULU2xheWVyYm91bmQ%3D","18.56","382万次观看"
"NOVO JOGO ABYSS DO THE  FORGE!","https://www.youtube.com/watch?v=JJvH7Lt1ZXo&pp=ygULU2xheWVyYm91bmQ%3D","11.54","3712次观看"
"Ang Sikreto Ng Golden Slayer Sword/The Secret of the Golden Slayer Sword","https://www.youtube.com/watch?v=pR7ddEU3oWg&pp=ygULU2xheWVyYm91bmQ%3D","4.23","120次观看"
"Getting Hashira Rank as RENGOKU🔥Anime Fighting Simulator Endless (Roblox)","https://www.youtube.com/watch?v=WSX0XMhlIck&pp=ygULU2xheWVyYm91bmQ%3D","10.41","5497次观看"
"INSANO! O NOVO JOGO DE BLEACH MAIS HYPADO DO ROBLOX FINALMENTE ESTÁ PRESTES A LANÇAR?","https://www.youtube.com/watch?v=uhBqmO-IVqc&pp=ygULU2xheWVyYm91bmQ%3D","12.15","1.4万次观看"
"O NOVO MAIS INSANO RPG DO ROBLOX EM 2026!","https://www.youtube.com/watch?v=18q6WdP6vno&pp=ygULU2xheWVyYm91bmQ%3D","21.20","1.5万次观看"
"New Epic Action Fantasy Full Movie 2025: THE BEAST | (GAME MOVIE)","https://www.youtube.com/watch?v=-mD9fNneTOw&pp=ygULU2xheWVyYm91bmQ%3D","2.00:12","250次观看"
"Excry De vuelta Probando","https://www.youtube.com/watch?v=jPY0eEStTqY&pp=ygULU2xheWVyYm91bmQ%3D","4.03:30","767次观看"
"Tanjiro’s Dream edit- Bound 2 Fall in Love","https://www.youtube.com/watch?v=rfj1XBUqMCQ&pp=ygULU2xheWVyYm91bmQ%3D","0.14","2821次观看"
"Demon Slayer was expected to fail... (here's why it didn't)","https://www.youtube.com/watch?v=vx-dFzs6Iq8&pp=ygULU2xheWVyYm91bmQ%3D","21.14","12万次观看"
"Beginner's Guide to Slayer Bound","https://www.youtube.com/watch?v=aDtCUiZlexs&pp=ygULU2xheWVyYm91bmQ%3D","11.11","4339次观看"
"SWEVENTEL © 2020","https://www.youtube.com/watch?v=onzsZ6aAgXs&list=RDonzsZ6aAgXs&start_radio=1&pp=ygULU2xheWVyYm91bmSgBwE%3D","0.59","86次观看"
"✅SCRIPT Tsunami Brainrot SEM KEY *Celestial INFINITO + Velocidade INFINITA* LINK DIRETO ROBLOX 2026","https://www.youtube.com/watch?v=G_peoVFLM4c&pp=ygULU2xheWVyYm91bmQ%3D","2.39","4.6万次观看"
"💠Enemy| Makio Edit💠XxCrystalxX","https://www.youtube.com/watch?v=ou9DE6Vd2jg&pp=ygULU2xheWVyYm91bmQ%3D","0.45","29万次观看"
"SWORN TO THE PATH - Metalus Prime - Epic Hard Rock - The Witcher (Fan Track)","https://www.youtube.com/watch?v=NwxixBSHCMY&list=RDNwxixBSHCMY&start_radio=1&pp=ygULU2xheWVyYm91bmSgBwE%3D","3.41","824次观看"
"💪🏽 SCRIPT MUY COMPLETO PARA JUJUTSU INFINITE 😱 AUTO FARM QUEST | AUTO BOSS ⚔️ SCRIPT PARA ROBLOX 🫡","https://www.youtube.com/watch?v=UOaa8Dbj19o&pp=ygULU2xheWVyYm91bmQ%3D","8.02","706次观看"
"𝐒𝐀𝐈𝐔!! SHOWCASE DA RESPIRAÇÃO DA PEDRA E DATA DE LANÇAMENTO NO PROJECT SLAYERS 2 (ROBLOX)","https://www.youtube.com/watch?v=91KyQPyxHzk&pp=ygULU2xheWVyYm91bmQ%3D","11.50","7066次观看"
"Doom: The Dark Ages - My First EVER Doom Experience! Gameplay & Reactions","https://www.youtube.com/watch?v=tthdEyZBzxc&pp=ygULU2xheWVyYm91bmQ%3D","30.21","29次观看"
"RENGOKU & OBANAI OVERWHELM EVERYONE ONLINE!!! - Demon Slayer The Hinokami Chronicles 2","https://www.youtube.com/watch?v=CG6yiaoIq70&pp=ygULU2xheWVyYm91bmQ%3D","34.27","1097次观看"
"runescape adventures~ Chaos Elemental PET hunt FULL STREAM","https://www.youtube.com/watch?v=H8cg-7WgFFA&pp=ygULU2xheWVyYm91bmQ%3D","4.18:36","15次观看"
"FREE PRISMATICS & GAMEPASS GIVEAWAY STREAM AND UPDATE PRE GRIND! | Spongebob TD","https://www.youtube.com/watch?v=_gyatfw4ALI&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","1.02:37","6490次观看"
"Season of Bonds EVENT [Demon Blade]","https://www.youtube.com/watch?v=NgKid8j_v4A&pp=ygULU2xheWVyYm91bmQ%3D","16.40","1.5万次观看"
"Insect Breathing.exe 5 | Demon Hunter","https://www.youtube.com/watch?v=aRAtXpHp1mc&pp=ygULU2xheWVyYm91bmQ%3D","18.32","516次观看"
"Twelve Titans Music - Bound by Purpose [Epic Music - Powerful Heroic Orchestral]","https://www.youtube.com/watch?v=72KbtAK4z0k&list=RD72KbtAK4z0k&start_radio=1&pp=ygULU2xheWVyYm91bmSgBwE%3D","3.12","751万次观看"
"Slayer Bound Water Trainer #roblox  ✌️😤","https://www.youtube.com/watch?v=dj3xJEJCftk&pp=ygULU2xheWVyYm91bmQ%3D","5.00","无人观看"
"ANIME BOUND: SNEAK PEEK OFICIAL! 😱 COMBATE + RUNAS + SUSANOO + NOVA INTERFACE (TUDO EXPLICADO)","https://www.youtube.com/watch?v=klvoHftDYTI&pp=ygULU2xheWVyYm91bmQ%3D","4.20","1.5万次观看"
"The Witcher Stories-Geralt of Rivia (Trias Remix) #thewitcher #witcher3 #geraltofrivia #ai #aiart","https://www.youtube.com/watch?v=QgRBwDb982s&pp=ygULU2xheWVyYm91bmQ%3D","0.42","64次观看"
"Um NOVO Jogo de Solo Leveling Acabou de LANÇAR no Roblox!","https://www.youtube.com/watch?v=sWH4AWhhTag&pp=ygULU2xheWVyYm91bmQ%3D","23.37","1.3万次观看"
"galera nao e o fim do canal e sim o recomeço (NAO DESISTA DOS SEUS SONHOS)","https://www.youtube.com/watch?v=PtPlGoNlXlg&pp=ygULU2xheWVyYm91bmQ%3D","9.41","1次观看"
"Soulbound UPDATE SHOWCASE (New Sub Zero ultimate move, new finisher)","https://www.youtube.com/watch?v=p80sA0z4gHQ&pp=ygULU2xheWVyYm91bmQ%3D","0.42","1万次观看"
"COMO PEGAR RESPIRAÇÃO INFINITA NO #slayerbound","https://www.youtube.com/watch?v=jd4VITysL4g&pp=ygULU2xheWVyYm91bmQ%3D","3.47","35次观看"
"NEW SUBZERO AWAKENING MOVE and SHAPESHIFTER BLACK ADDITIONS. (Soulbound UPDATE)","https://www.youtube.com/watch?v=VcNcVGCXE8Q&pp=ygULU2xheWVyYm91bmQ%3D","10.28","3.1万次观看"
"NEW MINI UPDATE Soulbound","https://www.youtube.com/watch?v=6M40B-8JWhc&pp=ygULU2xheWVyYm91bmQ%3D","1.12","6476次观看"
"EVENTO SECRETO FUJA do TSUNAMI para BRAINROTS | ADMIN ABUSE ROBLOX 🔴 TEUX LIVE AO VIVO","https://www.youtube.com/watch?v=Ppox6sYoy2c&pp=ygULU2xheWVyYm91bmQ%3D","3.34:02","4.2万次观看"
"Demon Slayer || by Azimu Nightcore (Official Lyrics Video)","https://www.youtube.com/watch?v=PBIogkQGKH4&list=RDPBIogkQGKH4&start_radio=1&pp=ygULU2xheWVyYm91bmSgBwE%3D","2.52","3079次观看"
"soulbound just updated and they added a new move for sub zero and its insane","https://www.youtube.com/watch?v=ytvuznpJqcY&pp=ygULU2xheWVyYm91bmQ%3D","3.32","75次观看"
"Zamouregal's Undead - Raptor Slayer Task and Necromancy Leveling | Runescape 3","https://www.youtube.com/watch?v=ARQT2m6efzI&pp=ygULU2xheWVyYm91bmQ%3D","6.25","1881次观看"
"Boss mais forte de slayerbound!!!","https://www.youtube.com/watch?v=aSIrDlqKrn4&pp=ygULU2xheWVyYm91bmQ%3D","57.04","12次观看"
"UM VERDADEIRO DESAFIO: COMPLETAR O TREINAMENTO PARA APRENDER A RESPIRAÇÃO DA ÁGUA NO PROJECT SLAYERS","https://www.youtube.com/watch?v=q4sE_ozBrdU&pp=ygULU2xheWVyYm91bmQ%3D","20.56","22万次观看"
"NEW FROZEN WARRIOR ULTIMATE MOVE + FINISHER! | Soulbound","https://www.youtube.com/watch?v=NnDJVuJ8sis&pp=ygULU2xheWVyYm91bmQ%3D","1.34","3032次观看"
"Buffy Gets Captured By Friends — BTVS (4x02)","https://www.youtube.com/watch?v=CxB8zznjHuE&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","2.01","7.2万次观看"
"Fairy Tail - Whispers of the Sky (Wendy's Song)","https://www.youtube.com/watch?v=X4GCR6faHJw&list=RDX4GCR6faHJw&start_radio=1&pp=ygULU2xheWVyYm91bmSgBwE%3D","3.46","2.5万次观看"
"angel parting gifts titled","https://www.youtube.com/watch?v=M0HnpobQl5U&pp=ygULU2xheWVyYm91bmQ%3D","6.49","7.4万次观看"
"como pegar a respiração do trovão no #slayerbound","https://www.youtube.com/watch?v=peR43AuqWyk&pp=ygULU2xheWVyYm91bmQ%3D","8.21","51次观看"
"Como pegar a respiração da água no slayerbound","https://www.youtube.com/watch?v=h_5EL1MB4Po&pp=ygULU2xheWVyYm91bmQ%3D","7.15","34次观看"
"Respiração da água,segunda forma - Slayerbound","https://www.youtube.com/watch?v=Mm5I_QX4ulo&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","6.55","11次观看"
"COMO PEGAR A RESPIRAÇÃO DO TROVÃO DO SLAYER ONLINE ❤️‍🔥!","https://www.youtube.com/watch?v=XyNskCT1CWU&pp=ygULU2xheWVyYm91bmQ%3D","1.32","1.1万次观看"
"[MEGA] SHOWCASE DE TODAS AS RESPIRAÇÕES E DEMON ART NO SLAYER ONLINE! - ROBLOX","https://www.youtube.com/watch?v=nj7h7kAsjAQ&pp=ygULU2xheWVyYm91bmQ%3D","10.24","2.3万次观看"
"[❤️UPD] DEMON BLADE CODES (SEASON OF BONDS) [ROBLOX] | *NEW* ALL WORKING FEBRUARY 2026 CODES","https://www.youtube.com/watch?v=rjEXq-OCrZ4&pp=ygULU2xheWVyYm91bmQ%3D","1.16","58次观看"
"como virar oni no slayer bound #demonslayer #game #roblox","https://www.youtube.com/watch?v=H-CwUYCv2n0&pp=ygULU2xheWVyYm91bmQ%3D","2.32","168次观看"
"COMO CONSEGUIR A RESPIRAÇÃO DAS CHAMAS NO PROJECT SLAYERS | Roblox - GG Games","https://www.youtube.com/watch?v=7ziaru9ai6o&pp=ygULU2xheWVyYm91bmQ%3D","12.06","18万次观看"
"Future Breathless Pillar? 🧢 (Demon Hunter}","https://www.youtube.com/watch?v=MDBorgSpWYU&pp=ygULU2xheWVyYm91bmQ%3D","0.38","209次观看"
"Tomioka Giyuu [Water Breathing] Moveset - JJS Skill Builder [Jujutsu Shenanigans]","https://www.youtube.com/watch?v=AFuv4tUbr68&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","3.36","5093次观看"
"⭐SAIU! Demon Slayer Mobile em Português - Gameplay e Primeiras Impressões!⭐","https://www.youtube.com/watch?v=Ewp8h0LJVo0&pp=ygULU2xheWVyYm91bmQ%3D","20.06","725次观看"
"The MOST Obsessed Sister in Anime","https://www.youtube.com/watch?v=KTeJ_1lSAp8&pp=ygULU2xheWVyYm91bmQ%3D","5.06","101次观看"
"Demon Soul Simulator | How to get Zohakuten and Tanjiro Swordsmith","https://www.youtube.com/watch?v=AFmswuRlsgY&pp=ygULU2xheWVyYm91bmQ%3D","4.02","2848次观看"
"Demon Soul Simulator Codes | 5 New Gift Codes Lunar New Year Update 4.14.0","https://www.youtube.com/watch?v=nXdH11g35UQ&pp=ygULU2xheWVyYm91bmQ%3D","4.11","3483次观看"
"O JOGO QUE SUPERA DEMON FALL","https://www.youtube.com/watch?v=Xmhyuk3z5H4&pp=ygULU2xheWVyYm91bmQ%3D","23.25","6次观看"
"Demon Souls Simulator SWORDSMITH TANJIRO & HINATSURU SHOWCASE","https://www.youtube.com/watch?v=0K29E8CgtlE&pp=ygULU2xheWVyYm91bmQ%3D","5.43","648次观看"
"[UPDATE 37] ANIME ETERNAL CODES 👿[ROBLOX]👿 | *NEW* ALL WORKING FEBRUARY 06, 2026 CODES","https://www.youtube.com/watch?v=VDqFwWI8ItE&pp=ygULU2xheWVyYm91bmQ%3D","1.07","80次观看"
